/rn,a,b/nx0/ls1
/r,qa,qb
109 -10.8 10.8 0 OUTPUT_AMPLITUDE_3D
9 -12 4
4.19267E-008 4.19991E-008 4.20990E-008 4.22894E-008 4.31870E-008 2.28240E-008 2.85202E-007 1.77318E-006 8.81619E-006 
5.76650E-008 5.77453E-008 5.78825E-008 5.81444E-008 5.93785E-008 3.13811E-008 3.92130E-007 2.43799E-006 1.21215E-005 
7.92846E-008 7.93651E-008 7.95706E-008 8.00036E-008 8.05951E-008 5.74948E-008 5.05836E-007 2.97686E-006 1.46511E-005 
1.08971E-007 1.09066E-007 1.09350E-007 1.10099E-007 1.08722E-007 1.08232E-007 6.76486E-007 3.71191E-006 1.79670E-005 
1.49717E-007 1.49844E-007 1.50238E-007 1.51430E-007 1.46590E-007 1.90959E-007 9.50252E-007 5.13412E-006 2.43334E-005 
2.05617E-007 2.05798E-007 2.06366E-007 2.08053E-007 1.98701E-007 3.13229E-007 1.34169E-006 7.50415E-006 3.48112E-005 
2.82265E-007 2.82532E-007 2.83379E-007 2.85453E-007 2.72315E-007 4.81445E-007 1.86117E-006 1.09800E-005 4.96514E-005 
3.87310E-007 3.87703E-007 3.88981E-007 3.91071E-007 3.78661E-007 6.97286E-007 2.55682E-006 1.59061E-005 6.95921E-005 
5.31187E-007 5.31766E-007 5.33681E-007 5.35088E-007 5.33822E-007 9.51498E-007 3.55752E-006 2.29098E-005 9.63054E-005 
7.28131E-007 7.28984E-007 7.31799E-007 7.31597E-007 7.58848E-007 1.21462E-006 5.11406E-006 3.28840E-005 1.32282E-004 
9.97535E-007 9.98790E-007 1.00283E-006 1.00034E-006 1.07887E-006 1.42453E-006 7.62056E-006 4.69622E-005 1.80632E-004 
1.36580E-006 1.36764E-006 1.37327E-006 1.36917E-006 1.52105E-006 1.47269E-006 1.16121E-005 6.65456E-005 2.45086E-004 
1.86881E-006 1.87152E-006 1.87921E-006 1.87736E-006 2.11116E-006 1.20598E-006 1.77604E-005 9.33828E-005 3.30214E-004 
2.55530E-006 2.55929E-006 2.56967E-006 2.57972E-006 2.86894E-006 7.52078E-007 2.68760E-005 1.29689E-004 4.41746E-004 
